dimension,stratum,cases,systems,clusters,length_median,positive_rate_median,direct_mean_aupr,official_mean_aupr,gpsfun_mean_aupr,scannet_mean_aupr,best_external_mean_aupr,direct_minus_best_external,direct_minus_official,direct_minus_gpsfun,direct_minus_scannet,direct_win_vs_best_external_rate,direct_unique_best_rate,direct_mean_margin_over_runner_up,bootstrap_ci_low,bootstrap_ci_high
panel,bc30_holo_clean820,814,408,407,248.0,0.16333199946645321,0.8108303893880816,0.7674998135838098,0.567616428247351,0.6803451804585711,0.8105777543787397,0.00025263500934188157,0.04333057580427193,0.24321396114073066,0.1304852089295106,0.5073710073710074,0.5073710073710074,0.12235103415154733,-0.012790759927201604,0.013023484074496314
panel,mmseq_holo_clean1000,988,494,492,275.5,0.1602969814995131,0.7914999168527233,0.7379615559610175,0.5542900640317345,0.656417626216181,0.7823125076020699,0.009187409250653316,0.053538360891705716,0.23720985282098891,0.13508229063654223,0.5323886639676113,0.5323886639676113,0.1272800869507699,-0.0028901462062051898,0.021381257269123873
panel,mmseq_state_clean886,874,402,400,291.5,0.15873048924722227,0.7281149438629975,0.6769699349590648,0.5387209427811288,0.6014003973783335,0.731452909704081,-0.003337965841083378,0.05114500890393275,0.18939400108186868,0.12671454648466407,0.5068649885583524,0.5068649885583524,0.11358439186793703,-0.01895619048764145,0.011401857494373464
input_state,af2,790,397,395,287.0,0.16108630952380948,0.7409262662050686,0.6914260830539701,0.5470436167699192,0.6128375627530785,0.7446531065965175,-0.003726840391448876,0.04950018315109855,0.19388264943514943,0.1280887034519902,0.5139240506329114,0.5139240506329114,0.11466685180163019,-0.018482538185928397,0.010400935054098216
input_state,apo,84,45,45,322.0,0.1328320802005012,0.6076275075506617,0.5410133040665026,0.4604481755056,0.4938365801634698,0.6073082008347362,0.00031930671592547303,0.06661420348415917,0.14717933204506153,0.11379092738719206,0.44047619047619047,0.44047619047619047,0.10340411392010845,-0.04679876845798452,0.04717969018756883
input_state,holo,1802,566,562,259.0,0.16218993403070342,0.8002318839136454,0.7513045868738659,0.5603098534165911,0.6672261884544194,0.7950804936598997,0.00515139025374571,0.048927297039779466,0.2399220304970543,0.13300569545922605,0.521087680355161,0.521087680355161,0.12505353368852395,-0.006822443743987444,0.0164673060019394
length_bin,200-349,913,197,196,281.0,0.1454545454545454,0.7840366672118908,0.7335475540499806,0.5202838081315155,0.6410135729983529,0.7802715173401994,0.0037651498716914145,0.050489113161910196,0.2637528590803752,0.1430230942135379,0.5279299014238773,0.5279299014238773,0.13529671834885304,-0.014425056991584377,0.021771439459646463
length_bin,350-499,450,94,94,399.0,0.1298854961832061,0.78419847616834,0.7262236984137578,0.5167857911927941,0.6303460153222799,0.7706220447493367,0.013576431419003195,0.05797477775458213,0.2674126849755459,0.15385246084606008,0.5622222222222222,0.5622222222222222,0.15447563299464515,-0.024005203586979024,0.04791378622125423
length_bin,<200,934,208,207,122.5,0.2676767676767677,0.8194477104059043,0.8028808334319938,0.6573783937824798,0.7315315367300771,0.8452934663922054,-0.025845755986301056,0.01656687697391037,0.16206931662342458,0.08791617367582713,0.4261241970021413,0.4261241970021413,0.06870479662742365,-0.03910730680618157,-0.012017844527051071
length_bin,>=500,379,93,92,625.0,0.087248322147651,0.6446210099982191,0.5253359080253917,0.41940980789904153,0.46388914130636666,0.5893218458506139,0.055299164147605225,0.11928510197282736,0.22521120209917753,0.18073186869185237,0.6569920844327177,0.6569920844327177,0.17786017796620135,0.026084631724125316,0.08503780029280382
positive_rate_bin,0.10-0.20,1146,256,254,288.0,0.1488888888888888,0.7983524610582797,0.7521882070789134,0.5375845542732144,0.6519614861003964,0.7944239759919534,0.003928485066326397,0.04616425397936642,0.2607679067850654,0.14639097495788347,0.5191972076788831,0.5191972076788831,0.12988831429988162,-0.010239681353075042,0.017968873367487034
positive_rate_bin,0.20-0.30,453,118,118,194.0,0.2346368715083799,0.8422363049111418,0.832335342670717,0.6489563888874956,0.7188008210366548,0.8572705703565017,-0.015034265445359856,0.009900962240424948,0.19327991602364625,0.12343548387448697,0.4922737306843267,0.4922737306843267,0.0883094741612787,-0.030757894796275075,-0.0002044006835244368
positive_rate_bin,<0.10,598,132,132,416.0,0.0723270440251572,0.5979580059587901,0.474127532040504,0.3380590753590525,0.4426161627627252,0.5713139227625743,0.02664408319621586,0.12383047391828615,0.2598989305997376,0.15534184319606506,0.5852842809364549,0.5852842809364549,0.18490948980394958,-0.011824889776411577,0.0642605692545873
positive_rate_bin,>=0.30,479,113,113,101.0,0.4114942528735632,0.8859425087427064,0.8829618559466349,0.7689185582871633,0.8152744020266359,0.9010975406810284,-0.015155031938321975,0.002980652796071592,0.11702395045554322,0.0706681067160705,0.44676409185803756,0.44676409185803756,0.052582779360775926,-0.027927691574581814,-0.0036255150508009725
difficulty_bin,0.30-0.50,172,61,61,343.0,0.0908213408213408,0.5452891585354411,0.3179440961411118,0.2774553402210573,0.34835850128295326,0.41825393732081223,0.12703522121462887,0.2273450623943293,0.2678338183143838,0.19693065725248782,0.6744186046511628,0.6744186046511628,0.23270275503736793,0.06743683573486925,0.18561527275988604
difficulty_bin,0.50-0.70,345,122,121,334.0,0.1063829787234042,0.6510030090986139,0.4921552246523088,0.3998581017882312,0.49552009744841174,0.6093403319412275,0.041662677157386314,0.15884778444630504,0.2511449073103826,0.15548291165020206,0.6347826086956522,0.6347826086956522,0.19131172338129174,0.0035251230552608517,0.0791212895012492
difficulty_bin,0.70-0.90,1047,302,302,281.0,0.1655773420479303,0.805751565675448,0.7744680442868245,0.5710763797418917,0.6715397579440547,0.819089647019564,-0.013338081344116081,0.03128352138862352,0.23467518593355624,0.13421180773139318,0.5978987583572111,0.5978987583572111,0.1207412218725453,-0.029112876255038136,0.0013402180499848357
difficulty_bin,<0.30,158,49,49,423.0,0.07261000713680354,0.2413925526281873,0.1308601962426787,0.13081114939049507,0.17159408744493088,0.19488026310932755,0.04651228951885979,0.1105323563855086,0.11058140323769226,0.06979846518325646,0.46835443037974683,0.46835443037974683,0.10100577943957242,-0.0015163029487145646,0.10591454160888265
difficulty_bin,>=0.90,954,262,261,190.5,0.21882773631840796,0.9205897586625614,0.9323885726257471,0.7088699842966283,0.8038568665402859,0.9449526823027731,-0.024362923640211594,-0.011798813963185767,0.21171977436593314,0.11673289212227561,0.3637316561844864,0.3637316561844864,0.07989186091647464,-0.03184756847746421,-0.017437817709394003
state_x_interface_change,af2/intermediate_or_mixed,272,157,157,282.0,0.1546577711885347,0.7641252552587546,0.724056726302197,0.5497982104198575,0.6234756403286646,0.7674114863988843,-0.003286231140129753,0.04006852895655762,0.21432704483889697,0.14064961493008998,0.5,0.5,0.11610604909553468,-0.02969069424856459,0.022228631839967223
state_x_interface_change,af2/large_interface_change,200,113,113,226.0,0.2123287671232876,0.6457382482811657,0.6311946115030158,0.5620717628524435,0.5852082671697594,0.6887015874848226,-0.0429633392036569,0.014543636778149864,0.08366648542872207,0.060529981111406325,0.425,0.425,0.05162942910887228,-0.07158672556002817,-0.016897604959861024
state_x_interface_change,af2/small_interface_change,316,176,175,306.0,0.15021259295648196,0.7798769066814758,0.7001990796135478,0.5368016855168994,0.6200213474747266,0.7595517968792191,0.02032510980225669,0.07967782706792804,0.24307522116457644,0.15985555920674924,0.5791139240506329,0.5791139240506329,0.15306029814257663,-0.0005455420846512479,0.04188610510848667
state_x_interface_change,af2/unknown,2,1,1,142.0,0.1830985915492957,0.9504643520217548,0.8906722999772804,0.2878294101029887,0.7939505847848786,0.8906722999772804,0.059792052044474464,0.059792052044474464,0.6626349419187662,0.15651376723687627,1.0,1.0,0.15651376723687627,0.059792052044474464,0.059792052044474464
state_x_interface_change,apo/intermediate_or_mixed,16,11,11,262.0,0.14126791493296345,0.5684701156231515,0.44223430159051513,0.36373957397412665,0.4563542558159349,0.5439073299741171,0.024562785649034576,0.12623581403263653,0.204730541649025,0.11211585980721672,0.4375,0.4375,0.15078350926685505,-0.06660110889168822,0.12696154889018504
state_x_interface_change,apo/large_interface_change,15,9,9,256.0,0.1655773420479303,0.5546755935612258,0.505048893808037,0.5093053220695227,0.48316938532896664,0.5579700170739159,-0.003294423512690296,0.0496266997531887,0.04537027149170294,0.07150620823225896,0.4,0.4,0.050996822021920823,-0.07175508600786472,0.06721146260075175
state_x_interface_change,apo/small_interface_change,53,28,28,350.0,0.1224489795918367,0.6344349977522032,0.5810119869625928,0.4758157307139915,0.508171016240415,0.6404117232910045,-0.005976725538801117,0.05342301078961047,0.15861926703821178,0.12626398151178833,0.4528301886792453,0.4528301886792453,0.10393315265453995,-0.07494120641419694,0.05933624912188484
difficult_x_length,0.30-0.50/200-349,57,20,20,296.0,0.1029900332225913,0.5365563879727163,0.30559797913724196,0.23616820137073413,0.3376682802543776,0.410808772232348,0.12574761574036825,0.2309584088354743,0.30038818660198213,0.1988881077183386,0.6491228070175439,0.6491228070175439,0.24676276828478672,0.030179914764682368,0.21677088343857442
difficult_x_length,0.30-0.50/350-499,14,5,5,463.0,0.0823798627002288,0.6768804465018033,0.3416846376570204,0.16295633367802617,0.35106351012870796,0.4116795936637196,0.2652008528380838,0.33519580884478295,0.5139241128237771,0.32581693637309556,1.0,1.0,0.39326747668171025,0.1555699409778709,0.37261677785674785
difficult_x_length,0.30-0.50/<200,31,13,13,142.0,0.2035928143712574,0.4546431889524419,0.3302640751140566,0.3474368818740851,0.3684813788670034,0.4293029641405058,0.025340224811936048,0.12437911383838518,0.10720630707835672,0.0861618100854383,0.45161290322580644,0.45161290322580644,0.10837438516684594,-0.09394316000673553,0.1359930221675526
difficult_x_length,0.30-0.50/>=500,70,25,25,574.0,0.06968725718725716,0.5662250863585729,0.31779326385306284,0.30298284329001435,0.34761083370699175,0.42073815717554447,0.1454869291830284,0.24843182250551002,0.2632422430685586,0.21861425265158113,0.7285714285714285,0.7285714285714285,0.24420064943540395,0.054199840470938454,0.2384831621131125
difficult_x_length,<0.30/200-349,37,11,11,261.0,0.0915032679738562,0.24641647723108992,0.13994111377816046,0.1761778350554574,0.2052336977730325,0.2350622438002273,0.011354233430862677,0.10647536345292949,0.0702386421756326,0.04118277945805748,0.35135135135135137,0.35135135135135137,0.07430282645935789,-0.06252962302285016,0.12487270765425723
